Year,Diplomatic Missions,International Agreements,Foreign Visits by Officials,Foreign Delegations to Ukraine,Trade Agreements Signed
2012,88,101,42,42,43
2013,94,146,32,30,19
2014,86,150,42,46,33
2015,109,103,59,50,25
2016,86,110,55,46,38
2017,105,113,42,60,44
2018,90,123,32,38,35
2019,83,117,40,40,38
2020,104,138,68,11,22
2021,97,125,23,19,20
2022,94,150,63,53,11
2023,90,131,27,53,49
2024,105,151,55,69,26
2000,80,114,52,30,24
2001,89,127,30,55,20
2002,104,101,51,44,44
2003,101,155,64,43,35
2004,99,140,20,57,31
2005,81,106,39,34,47
2006,95,136,77,62,33
2007,106,101,42,21,30
2008,93,122,47,50,44
2009,100,135,69,29,39
2010,80,111,66,44,10
2011,85,111,50,49,6
2012,97,108,69,23,46
2013,102,139,32,19,49
2014,109,139,44,49,34
2015,96,132,22,42,7
2016,88,129,23,45,21
2017,86,118,44,20,49
2018,99,140,77,54,40
2019,80,120,38,63,9
2020,80,106,78,28,22
2021,85,148,50,41,38
2022,90,138,66,37,32
2023,94,130,64,55,15
2024,109,113,50,29,10
2000,94,110,50,47,14
2001,80,119,41,47,43
2002,94,150,62,10,35
2003,93,120,51,56,36
2004,103,123,43,44,29
2005,80,115,41,39,28
2006,84,101,62,23,42
2007,107,104,63,24,44
2008,95,100,40,11,46
2009,88,107,30,22,46
2010,103,140,77,16,31
2011,107,156,58,40,41
2012,89,121,51,19,15
2013,90,138,51,22,9
2014,80,113,20,65,27
2015,100,143,65,25,17
2016,89,154,20,27,8
2017,88,151,41,21,45
2018,91,121,73,29,45
2019,101,101,59,69,44
2020,88,132,52,48,9
2021,109,106,63,45,14
2022,96,101,28,36,44
2023,84,133,55,30,19
2024,109,143,70,60,38
2000,97,110,35,15,12
2001,108,133,37,37,28
2002,101,116,57,43,46
2003,89,106,58,41,43
2004,81,128,77,41,48
2005,87,106,40,67,22
2006,92,152,23,48,18
2007,108,141,76,30,16
2008,90,155,50,36,24
2009,102,131,28,52,39
2010,90,108,44,31,34
2011,86,121,38,17,35
2012,97,139,59,15,14
2013,88,134,39,60,21
2014,83,119,21,56,46
2015,90,111,61,59,38
2016,84,123,58,43,17
2017,107,109,60,42,25
2018,84,108,59,16,35
2019,81,139,46,16,14
2020,97,125,32,26,47
2021,101,126,57,16,16
2022,106,107,53,36,47
2023,81,118,75,26,49
2024,105,122,59,35,7
2000,98,125,72,47,15
2001,87,100,28,11,41
2002,81,144,53,40,6
2003,93,101,25,58,39
2004,100,108,72,63,26
2005,98,128,75,16,36
2006,89,104,76,47,31
2007,81,151,44,27,25
2008,106,111,31,29,36
2009,95,135,79,34,32
2010,97,154,72,30,29
2011,86,109,59,43,32
2012,91,146,29,69,36
2013,107,103,28,69,39
2014,89,147,23,44,21
2015,91,126,70,27,19
2016,97,127,67,50,30
2017,100,132,77,10,24
2018,104,144,38,22,15
2019,95,132,40,31,20
2020,88,108,48,59,42
2021,109,107,21,25,10
2022,94,138,69,33,30
2023,107,122,44,42,48
2024,88,154,52,43,13
2000,89,107,43,28,8
2001,88,108,70,44,45
2002,83,101,54,51,30
2003,102,152,56,64,45
2004,104,135,78,54,19
2005,81,140,47,17,23
2006,82,132,45,54,25
2007,94,147,41,56,29
2008,108,136,78,53,27
2009,95,113,49,59,44
2010,88,109,71,21,11
2011,106,132,32,39,39
2012,84,127,42,20,16
2013,82,116,50,48,28
2014,104,144,78,21,9
2015,81,123,52,63,13
2016,80,129,66,62,31
2017,84,139,48,29,30
2018,101,144,60,43,44
2019,93,108,48,16,18
2020,95,137,45,57,38
2021,82,133,22,53,47
2022,96,112,39,30,13
2023,84,125,63,63,43
2024,103,123,29,39,48
2000,84,105,24,39,37
2001,86,111,62,44,17
2002,84,136,60,30,34
2003,105,128,21,57,28
2004,109,152,37,68,32
2005,94,139,68,45,46
2006,108,134,45,55,40
2007,88,149,24,15,6
2008,104,117,34,29,48
2009,98,136,56,10,21
2010,80,131,45,62,21
2011,88,156,77,50,43
2012,96,110,26,67,33
2013,107,126,65,45,30
2014,94,107,75,53,8
2015,95,103,68,67,22
2016,102,117,77,58,41
2017,95,157,73,20,19
2018,81,144,56,66,29
2019,81,116,39,21,25
2020,106,154,35,57,42
2021,82,131,70,51,24
2022,99,154,54,27,45
2023,105,135,68,67,47
2024,101,117,33,27,30
2000,95,142,79,13,8
2001,92,117,67,34,9
2002,100,127,45,15,45
2003,92,107,79,22,34
2004,102,150,45,60,21
2005,106,158,39,33,45
2006,80,147,42,17,5
2007,95,131,43,54,5
2008,91,112,20,64,42
2009,92,127,58,47,6
2010,100,109,40,53,31
2011,87,112,25,12,13
2012,109,119,72,34,5
2013,109,127,47,51,21
2014,96,132,69,61,35
2015,98,113,62,45,41
2016,88,129,30,54,41
2017,85,118,34,24,42
2018,87,113,22,41,40
2019,100,122,66,56,24
2020,102,100,22,31,19
2021,101,128,27,25,41
2022,82,128,77,62,27
2023,80,148,37,46,9
2024,107,123,21,37,13
2000,103,109,37,29,34
2001,105,136,22,43,44
2002,83,133,22,45,45
2003,94,107,79,54,32
2004,91,150,49,42,20
2005,80,105,33,19,41
2006,94,111,28,41,48
2007,107,136,24,11,29
2008,103,135,43,27,17
2009,97,116,33,54,11
2010,91,124,27,69,48
2011,80,112,55,19,22
2012,101,105,46,39,46
2013,102,142,20,57,44
2014,87,146,74,69,36
2015,89,146,58,57,35
2016,87,110,54,17,28
2017,82,111,45,17,10
2018,95,100,34,56,38
2019,85,123,38,47,25
2020,106,149,38,17,21
2021,89,155,45,33,45
2022,98,135,40,28,26
2023,103,107,31,14,41
2024,102,112,78,52,39
2000,81,148,43,58,49
2001,83,138,57,69,39
2002,103,144,52,31,32
2003,104,102,29,22,5
2004,102,149,68,38,5
2005,104,143,43,67,26
2006,83,129,49,35,30
2007,97,158,37,17,46
2008,81,112,56,14,9
2009,102,145,59,22,21
2010,81,149,72,46,42
2011,92,107,23,48,38
2012,106,159,62,47,43
2013,103,102,47,55,24
2014,84,109,68,33,27
2015,93,156,41,25,47
2016,92,105,33,47,5
2017,104,121,26,61,20
2018,94,154,33,67,48
2019,91,125,72,45,42
2020,98,133,42,39,21
2021,92,104,32,43,39
2022,89,123,46,51,46
2023,109,104,25,10,21
2024,99,150,52,41,38
2000,106,103,36,60,36
2001,97,147,37,59,41
2002,89,133,73,50,34
2003,99,135,48,27,47
2004,96,157,48,50,28
2005,106,121,26,14,31
2006,90,125,56,30,38
2007,90,117,65,10,5
2008,93,132,43,62,21
2009,98,133,40,38,48
2010,105,126,69,57,6
2011,103,157,66,28,12
2012,96,152,41,25,25
2013,100,142,54,11,39
2014,93,120,76,47,10
2015,105,147,26,35,20
2016,101,124,26,16,37
2017,81,140,76,39,27
2018,82,126,60,39,16
2019,86,110,73,56,18
2020,101,106,31,52,10
2021,93,122,20,36,22
2022,82,123,51,12,40
2023,104,122,26,60,25
2024,108,132,24,51,7
2000,101,156,79,35,28
2001,85,144,68,17,47
2002,98,121,78,58,17
2003,91,138,21,46,42
2004,100,150,64,62,32
2005,80,122,79,28,8
2006,87,130,45,41,5
2007,105,141,68,39,36
2008,81,113,24,46,16
2009,92,152,39,54,35
2010,104,114,75,56,32
2011,99,108,57,40,15
2012,105,119,35,60,42
2013,107,108,47,48,29
2014,96,140,72,62,29
2015,86,139,51,41,24
2016,99,142,23,23,18
2017,92,146,74,65,33
2018,82,115,35,51,12
2019,82,126,75,28,16
2020,87,102,70,69,17
2021,107,112,57,57,6
2022,90,129,30,39,27
2023,89,151,25,58,30
2024,87,157,72,52,43
2000,84,131,46,12,7
2001,80,107,72,32,31
2002,107,128,48,50,41
2003,104,103,35,67,22
2004,88,157,20,63,26
2005,105,119,70,27,10
2006,101,147,26,42,36
2007,102,115,74,30,23
2008,98,119,40,31,46
2009,81,119,71,15,29
2010,91,125,45,20,44
2011,108,119,41,26,15
2012,86,123,35,42,20
2013,94,132,35,20,26
2014,102,102,60,69,42
2015,108,149,31,56,40
2016,85,103,30,27,16
2017,88,126,32,35,31
2018,109,100,47,48,10
2019,92,120,47,20,29
2020,90,133,21,48,32
2021,92,118,20,16,48
2022,85,138,36,28,12
2023,103,155,36,17,35
2024,97,125,70,21,47
2000,95,149,48,11,9
2001,93,142,75,47,5
2002,90,103,44,39,12
2003,92,129,29,43,36
2004,91,159,60,10,21
2005,109,101,22,27,43
2006,94,125,42,63,6
2007,89,110,45,29,41
2008,85,154,74,61,31
2009,91,158,59,19,39
2010,98,125,60,17,8
2011,95,155,47,50,12
2012,90,125,30,24,18
2013,97,158,43,53,20
2014,84,154,48,40,13
2015,88,137,26,50,49
2016,90,100,27,65,30
2017,81,109,40,27,13
2018,83,112,28,63,39
2019,80,119,54,24,24
2020,108,140,70,21,34
2021,80,155,77,46,23
2022,108,147,50,60,33
2023,91,146,21,10,40
2024,84,101,60,11,34
2000,109,114,39,54,44
2001,94,154,25,21,8
2002,105,154,59,52,22
2003,88,108,52,27,45
2004,108,120,22,55,22
2005,102,127,51,10,33
2006,90,136,57,35,27
2007,84,151,43,41,15
2008,107,154,59,13,12
2009,101,134,24,34,19
2010,87,127,72,53,5
2011,96,138,21,29,5
2012,92,149,46,57,12
2013,82,117,40,35,46
2014,102,110,59,56,47
2015,91,113,63,22,16
2016,106,101,34,22,19
2017,93,121,23,18,38
2018,87,159,70,13,23
2019,95,135,53,39,34
2020,99,102,39,56,44
2021,92,103,44,66,21
2022,101,143,25,28,25
2023,104,117,61,40,19
2024,99,119,56,34,8
2000,81,152,70,54,49
2001,105,130,23,25,14
2002,101,102,39,28,37
2003,100,111,31,43,46
2004,103,106,40,18,38
2005,94,150,58,28,12
2006,85,106,74,35,39
2007,87,133,22,42,36
2008,100,118,38,33,47
2009,89,124,70,23,19
2010,80,149,42,51,28
2011,89,102,32,68,33
2012,102,122,72,24,20
2013,88,122,66,42,20
2014,85,109,24,27,49
2015,93,113,70,35,34
2016,87,134,34,33,17
2017,98,151,42,26,9
2018,101,140,70,63,35
2019,109,142,27,69,22
2020,91,127,43,55,47
2021,94,141,25,58,42
2022,109,126,46,17,23
2023,108,148,30,15,29
2024,102,148,41,43,13
2000,85,121,77,23,37
2001,108,139,50,32,17
2002,107,136,58,43,23
2003,100,158,75,53,22
2004,98,140,76,48,13
2005,101,119,33,59,44
2006,105,143,30,59,31
2007,87,108,61,11,16
2008,91,159,44,64,9
2009,97,109,67,10,12
2010,93,158,40,41,5
2011,83,150,41,31,46
2012,102,158,72,53,12
2013,105,106,63,37,44
2014,80,131,27,52,8
2015,96,115,48,13,25
2016,85,100,24,31,26
2017,86,146,25,51,41
2018,100,149,63,29,43
2019,96,134,37,26,11
2020,104,129,68,12,45
2021,107,103,41,55,44
2022,85,115,75,44,11
2023,99,149,56,13,28
2024,108,116,20,41,31
2000,80,134,44,32,5
2001,108,150,49,62,19
2002,80,105,51,64,38
2003,82,108,71,10,23
2004,86,101,36,63,19
2005,81,131,48,67,40
2006,93,134,59,17,26
2007,81,111,67,27,22
2008,103,154,79,58,37
2009,86,109,27,55,19
2010,105,156,39,69,22
2011,93,127,34,32,46
2012,98,104,73,30,20
2013,107,149,77,36,40
2014,94,142,76,52,22
2015,109,108,38,36,6
2016,97,132,39,12,16
2017,91,114,71,44,39
2018,98,126,31,50,6
2019,108,129,52,50,7
2020,101,121,42,37,29
2021,109,149,25,10,23
2022,84,106,51,48,8
2023,93,152,62,26,6
2024,104,157,45,19,32
2000,90,107,71,56,9
2001,105,151,50,56,26
2002,84,150,36,50,18
2003,83,137,27,54,27
2004,85,146,52,57,38
2005,87,149,39,65,42
2006,101,113,70,19,25
2007,81,127,20,32,19
2008,93,135,66,61,23
2009,83,150,26,50,21
2010,88,132,51,63,48
2011,95,125,30,36,29
2012,109,133,32,40,28
2013,95,155,50,63,36
2014,87,126,20,24,44
2015,90,107,31,17,14
2016,104,116,58,14,34
2017,100,154,48,11,14
2018,97,108,63,58,20
2019,92,116,30,54,29
2020,85,130,41,60,41
2021,94,149,72,65,29
2022,104,146,47,66,25
2023,91,137,63,66,16
2024,91,130,27,25,20
2000,99,121,38,53,21
2001,92,112,56,69,32
2002,82,105,61,10,6
2003,88,110,57,62,22
2004,85,158,43,26,33
2005,91,150,25,43,32
2006,102,118,21,18,24
2007,101,152,27,25,48
2008,105,105,52,23,40
2009,93,109,27,52,5
2010,80,155,29,36,39
2011,99,136,71,53,48
2012,106,112,56,51,29
2013,104,121,62,62,37
2014,105,139,74,38,18
2015,81,140,58,38,18
2016,108,155,46,28,26
2017,109,131,64,47,21
2018,95,142,79,47,36
2019,92,143,51,32,21
2020,87,121,63,33,44
2021,91,111,29,32,47
2022,88,132,33,23,48
2023,97,109,66,26,10
2024,102,118,52,29,18
2000,107,103,20,69,37
2001,80,129,25,27,32
2002,87,147,62,28,31
2003,103,148,33,39,14
2004,86,140,26,27,32
2005,108,111,49,24,33
2006,92,126,58,17,13
2007,97,133,25,52,27
2008,94,150,63,20,45
2009,82,107,65,39,46
2010,86,145,36,68,29
2011,104,109,47,40,33
2012,92,141,44,61,42
2013,84,115,27,19,38
2014,105,141,41,54,17
2015,86,158,50,27,29
2016,104,129,31,24,35
2017,88,144,35,26,34
2018,85,124,23,33,28
2019,104,142,32,64,6
2020,82,100,41,37,13
2021,108,113,40,18,6
2022,89,115,71,10,35
2023,80,125,45,18,19
2024,85,126,35,44,29
2000,103,158,57,35,37
2001,85,139,43,27,16
2002,104,126,77,54,19
2003,87,111,68,49,42
2004,104,117,75,28,13
2005,97,131,39,11,40
2006,106,108,56,56,9
2007,101,119,25,14,30
2008,80,115,63,45,10
2009,90,110,38,68,26
2010,99,106,62,30,20
2011,91,126,48,69,25
2012,91,147,39,58,27
2013,97,101,61,35,43
2014,84,102,66,34,11
2015,81,112,42,29,6
2016,107,130,44,24,10
2017,106,110,59,38,31
2018,97,121,69,35,28
2019,86,140,62,62,8
2020,90,112,60,68,42
2021,108,109,20,50,15
2022,96,150,39,39,20
2023,103,123,25,32,17
2024,101,143,59,47,9
2000,92,154,44,44,9
2001,104,102,62,67,23
2002,82,158,44,34,26
2003,105,112,61,54,17
2004,103,111,33,55,48
2005,85,121,28,55,23
2006,95,103,29,67,39
2007,97,117,63,62,45
2008,92,141,38,13,18
2009,100,116,79,55,29
2010,84,152,77,11,29
2011,82,142,73,29,28
2012,95,105,27,30,16
2013,81,134,71,59,36
2014,99,144,64,66,10
2015,97,135,70,30,12
2016,85,155,42,32,5
2017,101,136,70,67,30
2018,95,114,61,44,43
2019,107,137,38,61,5
2020,98,101,39,31,10
2021,101,112,69,69,15
2022,104,115,77,36,24
2023,96,133,40,64,23
2024,91,117,46,43,7
2000,94,133,56,36,10
2001,98,138,30,43,39
2002,86,155,48,51,49
2003,101,107,41,41,47
2004,83,157,53,52,48
2005,104,104,50,57,24
2006,98,136,28,68,15
2007,83,154,29,52,22
2008,93,147,31,48,45
2009,101,157,71,10,17
2010,99,131,33,46,44
2011,102,154,45,15,44
2012,97,115,50,52,43
2013,101,126,40,53,29
2014,100,110,23,16,43
2015,100,144,41,36,7
2016,82,114,26,21,44
2017,87,132,67,64,38
2018,100,117,73,51,18
2019,80,136,72,51,30
2020,96,136,27,27,6
2021,91,141,44,48,37
2022,104,144,56,36,20
2023,95,110,21,54,22
2024,89,158,68,23,7
2000,94,120,35,44,24
2001,82,152,65,50,46
2002,108,103,52,34,20
2003,108,152,71,45,30
2004,94,149,27,57,28
2005,106,106,50,68,37
2006,88,132,37,49,6
2007,102,111,69,21,31
2008,84,106,34,40,24
2009,91,122,27,33,49
2010,106,111,24,58,33
2011,83,148,62,64,38
2012,85,124,71,61,33
2013,91,102,33,69,16
2014,89,112,69,44,48
2015,104,120,23,64,32
2016,96,104,54,41,44
2017,96,101,79,32,21
2018,103,100,69,48,21
2019,101,119,28,66,40
2020,94,150,20,17,44
2021,80,114,52,64,16
2022,102,145,58,42,36
2023,87,118,67,20,44
2024,102,152,42,58,23
2000,90,131,46,57,9
2001,101,152,54,64,39
2002,82,137,28,51,20
2003,105,144,62,10,44
2004,97,132,23,10,23
2005,88,133,52,39,19
2006,85,102,60,17,23
2007,99,148,60,49,23
2008,87,128,73,23,8
2009,94,150,73,32,24
2010,105,158,37,36,33
2011,81,149,50,63,10
2012,105,137,75,61,29
2013,92,122,40,67,28
2014,106,114,79,12,38
2015,99,127,60,64,19
2016,99,159,47,36,17
2017,109,145,26,22,13
2018,95,147,27,22,31
2019,101,158,61,63,13
2020,105,151,68,38,10
2021,108,101,48,68,35
2022,95,159,57,68,49
2023,88,129,78,19,24
2024,106,155,58,45,31
2000,105,143,56,56,17
2001,91,138,21,20,35
2002,81,149,25,38,39
2003,94,134,24,12,31
2004,82,157,72,41,9
2005,85,142,35,36,36
2006,89,108,65,18,32
2007,93,131,40,57,9
2008,102,121,52,45,35
2009,105,153,41,48,20
2010,94,107,75,56,46
2011,81,109,47,55,18
2012,96,122,52,25,24
2013,108,158,38,17,28
2014,80,104,59,51,14
2015,95,112,53,17,14
2016,103,139,69,15,21
2017,82,146,49,69,7
2018,98,112,68,35,28
2019,104,146,43,33,49
2020,103,133,26,60,7
2021,106,155,40,33,14
2022,92,107,73,21,19
2023,100,145,78,16,38
2024,80,102,29,50,38
2000,93,135,76,55,29
2001,101,101,50,52,23
2002,102,100,37,11,45
2003,85,146,33,11,36
2004,88,130,74,55,28
2005,85,136,51,63,44
2006,104,131,61,57,20
2007,85,133,25,69,38
2008,98,142,34,13,34
2009,107,148,49,43,14
2010,88,104,57,57,16
2011,105,112,55,28,13
2012,106,118,61,20,34
2013,88,115,76,58,9
2014,88,144,38,64,11
2015,107,134,20,23,39
2016,89,101,25,50,27
2017,81,152,52,28,40
2018,85,118,77,13,42
2019,86,146,67,32,39
2020,101,131,20,31,5
2021,83,153,64,21,27
2022,100,137,30,20,14
2023,108,138,66,52,24
2024,105,107,38,16,15
2000,99,120,41,16,20
2001,88,156,77,32,31
2002,91,151,63,51,27
2003,99,111,53,24,24
2004,91,124,77,18,19
2005,81,158,68,28,33
2006,92,100,35,42,37
2007,97,131,45,20,10
2008,102,158,65,56,15
2009,96,133,78,56,28
2010,103,153,37,65,20
2011,95,141,56,40,12
2012,85,159,67,53,36
2013,88,105,44,18,31
2014,105,114,74,51,26
2015,89,152,39,18,11
2016,80,124,46,54,11
2017,87,158,20,46,13
2018,94,132,61,26,29
2019,102,126,38,56,39
2020,97,153,47,29,38
2021,82,115,28,13,13
2022,99,148,25,16,10
2023,104,151,42,51,7
2024,97,101,54,51,11
2000,98,150,39,42,17
2001,94,122,26,50,47
2002,91,157,75,30,22
2003,102,114,44,62,33
2004,98,124,69,34,41
2005,106,116,63,57,25
2006,108,157,26,17,7
2007,100,145,39,33,40
2008,106,111,45,51,48
2009,98,146,44,58,22
2010,88,123,72,21,39
2011,90,124,31,25,38
2012,108,100,32,46,32
2013,98,157,30,11,28
2014,107,129,35,21,22
2015,82,117,33,44,23
2016,108,112,43,13,36
2017,81,153,67,43,33
2018,100,149,26,44,17
2019,81,116,34,29,23
2020,90,131,66,66,30
2021,90,159,24,60,35
2022,85,157,46,18,24
2023,92,128,41,69,8
2024,82,156,62,45,13
2000,83,118,62,28,10
2001,101,154,38,65,18
2002,103,130,51,66,30
2003,82,132,25,62,49
2004,81,145,64,50,17
2005,88,143,67,52,22
2006,87,136,38,47,40
2007,85,132,47,67,32
2008,99,147,33,52,34
2009,96,152,27,52,31
2010,81,123,40,24,36
2011,80,108,24,51,28
2012,104,145,55,28,14
2013,81,114,65,34,47
2014,96,113,73,21,14
2015,82,107,72,15,20
2016,80,111,56,47,34
2017,95,150,78,46,9
2018,102,105,51,54,40
2019,109,101,68,33,15
2020,105,147,33,44,14
2021,93,118,55,17,14
2022,82,140,51,66,32
2023,84,138,50,69,18
2024,87,115,39,21,49
2000,89,123,57,11,24
2001,98,146,71,17,14
2002,105,142,62,21,14
2003,83,131,58,43,16
2004,96,105,54,54,30
2005,80,156,66,69,38
2006,85,151,69,48,40
2007,94,126,68,13,18
2008,93,158,37,38,5
2009,94,132,59,16,8
2010,91,127,77,62,7
2011,103,113,39,69,14
2012,87,150,77,26,5
2013,86,106,55,45,33
2014,83,140,34,35,9
2015,106,127,67,25,14
2016,80,118,53,56,12
2017,102,111,57,33,6
2018,106,140,63,11,28
2019,107,133,72,47,37
2020,81,148,70,47,20
2021,104,108,49,54,22
2022,96,149,77,48,36
2023,82,120,72,22,49
2024,88,117,54,58,22
2000,82,159,33,23,40
2001,100,104,58,21,45
2002,84,130,67,59,21
2003,104,154,71,65,8
2004,80,136,65,34,22
2005,90,123,62,59,17
2006,98,129,52,58,45
2007,89,123,24,65,9
2008,102,116,20,24,37
2009,85,107,45,29,45
2010,80,143,21,18,19
2011,100,136,56,22,6
2012,89,115,35,39,19
2013,84,136,68,22,21
2014,83,155,21,31,25
2015,106,114,36,29,40
2016,88,128,64,42,42
2017,89,157,35,10,39
2018,94,107,74,55,7
2019,105,139,79,33,44
2020,82,154,27,64,38
2021,81,152,39,37,32
2022,109,152,22,13,32
2023,94,139,57,51,38
2024,89,129,77,55,27
2000,87,108,53,47,16
2001,99,106,28,29,46
2002,96,125,65,61,6
2003,104,107,78,28,17
2004,92,147,43,39,33
2005,88,120,57,22,9
2006,107,103,28,23,29
2007,91,157,39,44,15
2008,96,159,50,65,40
2009,82,156,30,42,46
2010,95,103,44,21,23
2011,87,100,24,28,34
2012,92,102,33,11,19
2013,88,159,64,66,6
2014,104,123,66,40,44
2015,95,109,30,47,16
2016,102,122,21,55,48
2017,86,117,29,39,14
2018,92,153,62,52,22
2019,82,116,23,65,10
2020,102,141,55,36,41
2021,101,126,34,68,11
2022,89,122,63,55,8
2023,94,137,54,14,49
2024,93,112,39,62,8
2000,108,129,71,50,45
2001,88,105,54,19,24
2002,102,122,21,58,21
2003,107,128,21,37,26
2004,91,136,52,10,42
2005,87,108,64,60,38
2006,94,133,66,35,16
2007,90,147,76,65,24
2008,82,102,39,23,47
2009,97,140,62,64,36
2010,95,135,29,23,30
2011,102,124,74,48,42
2012,102,111,30,14,48
2013,82,145,41,63,38
2014,94,157,38,49,6
2015,108,121,33,14,9
2016,83,149,34,49,17
2017,96,147,45,34,24
2018,105,116,59,22,12
2019,101,144,27,64,38
2020,99,138,59,33,10
2021,104,143,25,30,5
2022,82,135,53,68,16
2023,104,127,41,18,36
2024,105,159,54,27,44
2000,105,104,25,52,10
2001,85,146,71,43,9
2002,82,135,37,21,20
2003,90,100,43,33,20
2004,83,113,29,32,6
2005,103,122,56,47,47
2006,99,104,40,64,5
2007,109,149,41,25,16
2008,87,115,72,40,32
2009,105,110,28,60,43
2010,103,113,63,58,35
2011,87,109,24,27,39
2012,80,153,51,48,12
2013,103,132,42,60,23
2014,93,137,70,45,14
2015,82,102,51,65,38
2016,102,136,28,42,42
2017,109,130,52,42,23
2018,101,154,53,34,5
2019,97,142,26,67,29
2020,96,107,30,16,28
2021,98,105,69,18,38
2022,109,117,47,42,38
2023,85,140,77,57,32
2024,106,150,23,46,22
2000,81,110,41,60,11
2001,102,100,54,17,39
2002,80,141,58,16,5
2003,85,136,54,24,26
2004,100,121,73,59,33
2005,100,141,46,56,24
2006,103,113,57,11,26
2007,108,130,56,12,16
2008,81,141,62,56,48
2009,101,106,31,65,18
2010,88,158,79,59,22
2011,82,145,36,45,32
2012,107,128,57,45,8
2013,88,119,33,16,48
2014,87,114,59,30,16
2015,104,156,23,18,20
2016,80,133,61,17,47
2017,91,137,75,50,26
2018,96,132,69,69,9
2019,85,149,65,40,13
2020,96,111,69,44,11
2021,103,145,47,41,27
2022,93,143,27,67,26
2023,106,113,41,61,10
2024,108,143,29,33,13
2000,102,119,57,11,25
2001,98,128,75,38,26
2002,104,128,49,63,31
2003,87,144,65,56,41
2004,91,123,48,39,20
2005,86,144,29,60,47
2006,83,147,44,64,12
2007,88,131,23,47,5
2008,90,127,54,34,25
2009,95,141,43,21,25
2010,80,107,64,37,5
2011,107,140,60,43,43
2012,100,157,79,31,17
2013,93,149,70,65,40
2014,99,103,73,55,42
2015,84,102,36,11,6
2016,83,142,30,21,9
2017,83,157,44,69,5
2018,81,132,61,10,39
2019,102,141,58,21,44
2020,98,126,41,28,26
2021,100,141,36,61,14
2022,94,155,41,51,17
2023,100,104,49,19,27
2024,93,139,26,36,30
2000,105,130,63,54,38
2001,107,132,46,62,20
2002,86,130,58,29,12
2003,99,147,58,63,44
2004,83,151,48,28,6
2005,105,144,31,67,44
2006,90,125,70,50,8
2007,109,159,59,68,5
2008,105,102,26,46,47
2009,86,142,61,43,19
2010,100,137,66,52,32
2011,94,114,49,27,27
2012,93,150,41,35,20
2013,103,102,40,40,32
2014,92,117,64,15,25
2015,105,139,55,54,11
2016,91,103,23,22,49
2017,109,103,79,50,39
2018,98,157,21,29,42
2019,95,123,23,36,46
2020,90,127,70,61,43
2021,96,157,72,65,26
2022,82,146,31,53,16
2023,80,132,79,25,40
2024,101,142,46,49,41
2000,86,138,24,68,47
2001,97,147,44,28,38
2002,88,138,44,18,8
2003,83,126,29,51,31
2004,98,142,66,27,10
2005,88,112,22,57,29
2006,105,127,72,18,40
2007,87,129,71,64,49
2008,91,126,48,47,45
2009,80,129,34,29,49
2010,83,102,30,16,17
2011,82,138,56,26,45
2012,109,117,30,17,19
2013,83,111,46,32,49
2014,83,147,66,16,22
2015,92,110,21,69,8
2016,100,140,48,12,23
2017,91,137,58,39,42
2018,88,137,49,13,45
2019,83,141,48,20,43
2020,80,147,21,44,33
2021,87,117,39,44,9
2022,84,114,41,39,8
2023,83,101,52,10,36
2024,100,112,30,66,20
2000,95,107,35,11,44
2001,80,141,33,58,29
2002,98,105,39,56,47
2003,93,105,43,27,40
2004,99,105,48,67,8
2005,91,136,48,27,40
2006,94,155,72,49,35
2007,86,134,30,51,20
2008,105,129,62,18,40
2009,86,140,46,38,41
2010,103,158,40,55,38
2011,90,106,63,61,37
2012,101,142,62,10,27
2013,81,117,70,54,30
2014,82,114,23,28,42
2015,100,101,54,41,9
2016,95,151,47,59,17
2017,101,125,25,42,6
2018,103,146,36,56,39
2019,82,152,63,40,8
2020,85,118,43,10,33
2021,101,135,43,14,29
2022,108,103,45,39,12
2023,99,109,60,63,36
2024,84,142,34,51,12
2000,102,144,68,52,42
2001,103,122,31,64,35
2002,87,147,38,23,18
2003,108,151,57,45,34
2004,103,138,65,51,24
2005,109,127,64,44,6
2006,95,111,50,33,40
2007,92,138,44,66,10
2008,95,133,66,32,30
2009,109,138,44,15,15
2010,104,139,79,44,6
2011,108,120,75,35,10
2012,109,151,56,49,22
2013,84,107,63,38,41
2014,92,130,43,34,47
2015,85,133,72,48,44
2016,103,158,30,53,48
2017,85,149,62,55,5
2018,105,122,60,49,5
2019,90,121,54,66,29
2020,84,121,68,13,27
2021,102,117,47,53,16
2022,92,109,60,20,5
2023,100,112,49,38,36
2024,82,117,22,36,22
2000,96,124,77,43,42
2001,106,154,20,68,46
2002,102,113,21,51,14
2003,109,147,38,32,31
2004,106,138,51,20,11
2005,84,140,23,60,33
2006,98,151,77,34,13
2007,100,126,62,24,37
2008,91,142,58,32,6
2009,104,118,61,26,45
2010,100,157,56,12,41
2011,88,121,25,34,46
2012,107,157,70,63,19
2013,81,143,76,43,16
2014,90,109,73,65,38
2015,91,132,67,19,41
2016,97,156,59,24,28
2017,93,141,42,53,32
2018,80,156,73,61,42
2019,83,114,51,37,9
2020,100,127,62,15,22
2021,102,103,37,62,25
2022,84,132,62,26,29
2023,101,110,42,29,21
2024,101,131,58,32,41
2000,88,105,70,37,6
2001,92,129,62,65,47
2002,99,114,61,43,24
2003,81,118,70,69,43
2004,106,157,35,50,36
2005,84,125,38,24,22
2006,94,158,77,69,36
2007,88,135,55,12,33
2008,100,138,77,36,44
